experiment_name,experiment_iteration,task_number,code_fix_count,code_syntax_status,obj_expected,obj_given,obj_status,sum_prompt_tokens,sum_completion_tokens,sum_prompt_tokens_price,sum_completion_tokens_price,sum_price
experiment_2a1,1,1,0,True,78.64,78.6376025,True,478,343,7.170000000000001e-05,0.0002058,0.00027749999999999997
experiment_2b1,1,1,0,True,78.64,78.6376025,True,478,373,7.170000000000001e-05,0.0002238,0.00029549999999999997
experiment_2a1,1,2,0,True,271250000.0,261952381.0,False,1193,903,0.00017894999999999999,0.0005417999999999999,0.0007207499999999999
experiment_2a1,1,3,0,True,353.0,353.0,True,807,724,0.00012105,0.0004344,0.00055545
experiment_2b1,1,2,0,True,271250000.0,261952381.0,False,1193,832,0.00017894999999999999,0.0004992,0.00067815
experiment_2a1,1,4,0,True,15.0,15.0,True,400,325,6e-05,0.000195,0.000255
experiment_2b1,1,3,0,True,353.0,353.0,True,807,702,0.00012105,0.0004212,0.00054225
experiment_2a1,1,5,0,True,190.0,40.0,False,710,577,0.0001065,0.0003462,0.0004527
experiment_2b1,1,4,0,True,15.0,15.0,True,400,289,6e-05,0.0001734,0.0002334
experiment_2a1,1,6,0,False,0.111,,False,713,512,0.00010695,0.0003072,0.00041414999999999996
experiment_2a1,1,7,0,True,0.0111,0.01,False,695,468,0.00010425,0.0002808,0.00038505
experiment_2a1,1,8,0,True,12000.0,12000.0,True,455,337,6.825e-05,0.00020219999999999998,0.00027045
experiment_2b1,1,5,1,True,190.0,0.0,False,2283,1201,0.00034245,0.0007206000000000001,0.00106305
experiment_2a1,1,9,0,True,7.37,7.3703704,True,534,343,8.01e-05,0.0002058,0.00028589999999999996
experiment_2a1,1,10,0,True,240.9,240.89999999999998,True,655,480,9.825e-05,0.000288,0.00038625
experiment_2b1,1,6,1,True,0.111,0.0,False,2201,949,0.00033015,0.0005694000000000001,0.00089955
experiment_2a1,1,11,0,False,1308.0,,False,532,387,7.98e-05,0.00023219999999999998,0.000312
experiment_2b1,1,7,0,True,0.0111,0.01,False,695,509,0.00010425,0.0003054,0.00040965
experiment_2a1,1,12,0,True,350.45,1404.0,False,725,470,0.00010875,0.000282,0.00039075000000000004
experiment_2b1,1,8,0,True,12000.0,12000.0,True,455,324,6.825e-05,0.0001944,0.00026265
experiment_2a1,1,13,0,True,2.0,4.0,False,531,376,7.965e-05,0.00022559999999999998,0.00030524999999999997
experiment_2b1,1,9,0,True,7.37,7.3703704,True,534,385,8.01e-05,0.000231,0.0003111
experiment_2a1,1,14,0,True,654.2,2374.285719,False,682,426,0.00010229999999999999,0.0002556,0.00035789999999999997
experiment_2b1,1,10,0,True,240.9,240.89999999999998,True,655,500,9.825e-05,0.0003,0.00039824999999999995
experiment_2a1,1,15,0,False,339000.0,,False,745,687,0.00011175,0.0004122,0.00052395
experiment_2a1,1,16,0,False,339000.0,,False,650,416,9.75e-05,0.0002496,0.0003471
experiment_2b1,1,11,1,False,1308.0,,False,1685,828,0.00025275,0.0004967999999999999,0.0007495499999999999
experiment_2a1,1,17,0,True,10305.11226,10306.10552,True,643,424,9.645e-05,0.0002544,0.00035085
experiment_2b1,1,12,0,True,350.45,3000.0,False,725,604,0.00010875,0.00036239999999999997,0.00047115
experiment_2b1,1,13,0,True,2.0,4.0,False,531,367,7.965e-05,0.00022019999999999999,0.00029985
experiment_2a1,1,18,0,False,107843.0,,False,1119,1042,0.00016785,0.0006251999999999999,0.0007930499999999999
experiment_2b1,1,14,0,True,654.2,1054.285719,False,682,460,0.00010229999999999999,0.000276,0.0003783
experiment_2a1,1,19,0,False,3000.0,,False,1324,954,0.0001986,0.0005723999999999999,0.000771
experiment_2b1,1,15,1,False,339000.0,,False,2263,1353,0.00033945,0.0008117999999999999,0.00115125
experiment_2a1,1,20,0,False,93715.0,,False,1218,1183,0.0001827,0.0007097999999999999,0.0008924999999999998
experiment_2b1,1,16,0,True,339000.0,339000.0,True,650,405,9.75e-05,0.000243,0.0003405
experiment_2b1,1,17,0,True,10305.11226,-90703.8112,False,643,481,9.645e-05,0.00028859999999999997,0.00038504999999999995
experiment_2a1,1,21,0,False,93715.0,,False,1184,986,0.0001776,0.0005916000000000001,0.0007692
experiment_2a1,1,22,0,False,1438383.0,,False,1166,722,0.0001749,0.0004332,0.0006081
experiment_2a1,1,23,0,False,498677.0,,False,1162,896,0.00017429999999999998,0.0005376000000000001,0.0007119
experiment_2b1,1,18,1,False,107843.0,,False,3533,2360,0.00052995,0.001416,0.00194595
experiment_2a1,1,24,0,True,2142.0,193411442.37552083,False,898,655,0.0001347,0.000393,0.0005277
experiment_2a1,1,25,0,False,2619.0,,False,960,1002,0.000144,0.0006012,0.0007452
experiment_2b1,1,19,1,False,3000.0,,False,4086,2377,0.0006129,0.0014261999999999999,0.0020391
experiment_2a1,1,26,0,False,2450.0,,False,1001,803,0.00015015000000000002,0.00048179999999999995,0.0006319499999999999
experiment_2a1,1,27,0,True,14900.0,0.0,False,765,595,0.00011475,0.000357,0.00047175
experiment_2a1,1,28,0,True,19.95,11.46625,False,553,476,8.295e-05,0.00028559999999999995,0.00036854999999999993
experiment_2a1,1,29,0,True,10.45,11.46625,False,547,486,8.205e-05,0.0002916,0.00037365
experiment_2b1,1,20,1,False,93715.0,,False,3891,2260,0.00058365,0.001356,0.00193965
experiment_2a1,1,30,0,True,1.475,10.458964648,False,570,500,8.55e-05,0.0003,0.0003855
experiment_2a1,1,31,0,False,986630.0,,False,688,660,0.0001032,0.000396,0.0004992
experiment_2a1,1,32,0,True,1000.0,1000.0,True,425,330,6.375e-05,0.000198,0.00026175
experiment_2a1,1,33,0,True,20.0,20.0,True,402,258,6.0299999999999995e-05,0.0001548,0.0002151
experiment_2b1,1,21,1,False,93715.0,,False,3758,2130,0.0005637,0.001278,0.0018417
experiment_2a1,1,34,0,True,4.0,4.0,True,433,309,6.495e-05,0.0001854,0.00025035
experiment_2a1,1,35,0,True,970.0,970.0,True,518,452,7.77e-05,0.0002712,0.00034889999999999997
experiment_2a1,1,36,0,True,3800.0,3800.0,True,528,386,7.92e-05,0.0002316,0.00031079999999999997
experiment_2a1,1,37,0,True,12000.0,12000.0,True,441,308,6.615e-05,0.0001848,0.00025095
experiment_2b1,1,22,1,False,1438383.0,,False,3202,1594,0.0004803,0.0009563999999999999,0.0014367
experiment_2a1,1,38,0,True,450.0,20.0,False,503,482,7.545e-05,0.0002892,0.00036465
experiment_2a1,1,39,0,False,15.0,,False,425,372,6.375e-05,0.00022319999999999998,0.00028695
experiment_2a1,1,40,0,True,431433437.5,424.78947366,False,707,581,0.00010605,0.00034859999999999996,0.00045464999999999997
experiment_2a1,1,41,0,True,3.0,0.0,False,411,424,6.165e-05,0.0002544,0.00031605
experiment_2b1,1,23,1,True,498677.0,2437500.0,False,3668,1858,0.0005501999999999999,0.0011148,0.0016649999999999998
experiment_2a1,1,42,0,False,9.0,,False,515,425,7.725e-05,0.000255,0.00033225
experiment_2b1,1,24,0,True,2142.0,-19999935.714286402,False,898,655,0.0001347,0.000393,0.0005277
experiment_2a1,1,43,0,True,62666.6666667,62666.6664,True,569,401,8.535e-05,0.0002406,0.00032595
experiment_2a1,1,44,0,True,9600.0,9600.0,True,605,475,9.075e-05,0.000285,0.00037575
experiment_2a1,1,45,0,False,100500.0,,False,732,460,0.0001098,0.000276,0.0003858
experiment_2b1,1,25,1,True,2619.0,737.5972730000001,False,2897,1705,0.00043455,0.001023,0.0014575500000000002
experiment_2a1,1,46,0,False,37100.0,,False,723,647,0.00010845000000000001,0.0003882,0.00049665
experiment_2a1,1,47,0,True,16620.0,31410.0,False,429,393,6.434999999999999e-05,0.00023579999999999999,0.00030015
experiment_2a1,1,48,0,False,178900.0,,False,861,917,0.00012915,0.0005501999999999999,0.0006793499999999999
experiment_2a1,1,49,0,False,10200.0,,False,650,448,9.75e-05,0.00026880000000000003,0.0003663
experiment_2a1,1,50,0,False,9750.0,,False,767,599,0.00011504999999999999,0.00035939999999999995,0.00047444999999999996
experiment_2b1,1,26,1,False,2450.0,,False,3236,2228,0.0004854,0.0013368,0.0018222
experiment_2a1,1,51,0,False,703.0,,False,770,609,0.0001155,0.0003654,0.0004809
experiment_2a1,1,52,0,True,1380.0,1380.0,True,499,411,7.484999999999999e-05,0.0002466,0.00032145
experiment_2a1,1,53,0,True,33960.0,5230.0,False,595,487,8.925e-05,0.0002922,0.00038145
experiment_2b1,1,27,1,False,14900.0,,False,2450,1403,0.0003675,0.0008418,0.0012093
experiment_2a1,1,54,0,True,5600.0,50516.7,False,746,527,0.0001119,0.0003162,0.0004281
experiment_2b1,1,28,0,True,19.95,11.46625,False,553,515,8.295e-05,0.000309,0.00039194999999999996
experiment_2a1,1,55,0,False,5600.0,,False,760,665,0.000114,0.000399,0.000513
experiment_2b1,1,29,0,True,10.45,11.46625,False,547,478,8.205e-05,0.00028680000000000003,0.00036885000000000005
experiment_2a1,1,56,0,False,26.5,,False,613,477,9.195e-05,0.00028619999999999996,0.00037814999999999995
experiment_2b1,1,30,0,True,1.475,10.458964648,False,570,527,8.55e-05,0.0003162,0.0004017
experiment_2b1,1,31,1,False,986630.0,,False,2136,1348,0.0003204,0.0008087999999999999,0.0011292
experiment_2a1,1,57,0,False,251500.0,,False,772,630,0.0001158,0.000378,0.0004938
experiment_2b1,1,32,0,True,1000.0,1000.0,True,425,313,6.375e-05,0.00018779999999999998,0.00025155
experiment_2a1,1,58,0,False,7120.0,,False,675,523,0.00010125,0.00031380000000000004,0.00041505000000000003
experiment_2b1,1,33,0,True,20.0,20.0,True,402,237,6.0299999999999995e-05,0.0001422,0.0002025
experiment_2a1,1,59,0,True,35000.0,35000.0,True,575,456,8.625e-05,0.0002736,0.00035985
experiment_2b1,1,34,0,True,4.0,4.0,True,433,288,6.495e-05,0.00017279999999999997,0.00023774999999999998
experiment_2a1,1,60,0,True,290.0,290.0,True,480,484,7.2e-05,0.00029039999999999996,0.00036239999999999997
experiment_2b1,1,35,0,True,970.0,970.0,True,518,463,7.77e-05,0.00027780000000000003,0.0003555
experiment_2b1,1,36,0,True,3800.0,3800.0,True,528,372,7.92e-05,0.00022319999999999998,0.0003024
experiment_2a1,1,61,0,True,2280.0,2280.0,True,697,662,0.00010455,0.0003972,0.00050175
experiment_2b1,1,37,0,True,12000.0,12000.0,True,441,324,6.615e-05,0.0001944,0.00026055
experiment_2a1,1,62,0,False,1256.0,,False,538,603,8.07e-05,0.0003618,0.0004425
experiment_2b1,1,38,1,False,450.0,,False,1688,1144,0.00025320000000000003,0.0006864,0.0009396000000000001
experiment_2a1,1,63,0,True,45.0,45.0,True,1126,947,0.0001689,0.0005681999999999999,0.0007371
experiment_2a1,2,1,0,True,78.64,78.6376025,True,478,333,7.170000000000001e-05,0.00019979999999999998,0.0002715
experiment_2b1,1,39,1,True,15.0,1.0,False,1326,785,0.0001989,0.00047099999999999996,0.0006699
experiment_2a1,2,2,0,True,271250000.0,215285712.5,False,1193,897,0.00017894999999999999,0.0005382,0.00071715
experiment_2b1,1,40,0,True,431433437.5,-2071.052634,False,707,587,0.00010605,0.0003522,0.00045825
experiment_2b1,1,41,0,True,3.0,1.0,False,411,468,6.165e-05,0.0002808,0.00034245
experiment_2a1,2,3,0,False,353.0,,False,807,606,0.00012105,0.00036359999999999995,0.00048464999999999994
experiment_2a1,2,4,0,True,15.0,15.0,True,400,304,6e-05,0.00018240000000000002,0.0002424
experiment_2b1,1,42,1,False,9.0,,False,1891,864,0.00028365,0.0005184,0.00080205
experiment_2a1,2,5,0,True,190.0,155.0,False,710,659,0.0001065,0.00039539999999999996,0.0005019
experiment_2b1,1,43,0,True,62666.6666667,62666.6664,True,569,396,8.535e-05,0.0002376,0.00032295
experiment_2a1,2,6,0,False,0.111,,False,713,505,0.00010695,0.000303,0.00040994999999999996
experiment_2b1,1,44,0,True,9600.0,50516.7,False,605,437,9.075e-05,0.0002622,0.00035295
experiment_2a1,2,7,0,True,0.0111,0.01,False,695,489,0.00010425,0.0002934,0.00039765
experiment_2a1,2,8,0,True,12000.0,12000.0,True,455,369,6.825e-05,0.00022140000000000001,0.00028965
experiment_2a1,2,9,0,True,7.37,7.3703704,True,534,387,8.01e-05,0.00023219999999999998,0.00031229999999999995
experiment_2b1,1,45,1,True,100500.0,915.0,False,2404,941,0.0003606,0.0005646,0.0009251999999999999
experiment_2a1,2,10,0,True,240.9,240.89999999999998,True,655,518,9.825e-05,0.0003108,0.00040905
experiment_2a1,2,11,0,False,1308.0,,False,532,437,7.98e-05,0.0002622,0.00034199999999999996
experiment_2b1,1,46,1,True,37100.0,60273.9145,False,2497,1363,0.00037454999999999997,0.0008178,0.00119235
experiment_2a1,2,12,0,True,350.45,200.0,False,725,542,0.00010875,0.0003252,0.00043395
experiment_2b1,1,47,0,True,16620.0,33290.0,False,429,391,6.434999999999999e-05,0.00023459999999999998,0.00029895
experiment_2a1,2,13,0,True,2.0,2.0,True,531,324,7.965e-05,0.0001944,0.00027405
experiment_2a1,2,14,0,True,654.2,671.4285709999999,False,682,453,0.00010229999999999999,0.0002718,0.0003741
experiment_2a1,2,15,0,False,339000.0,,False,745,653,0.00011175,0.00039180000000000004,0.0005035500000000001
experiment_2a1,2,16,0,True,339000.0,339000.0,True,650,430,9.75e-05,0.000258,0.00035549999999999997
experiment_2b1,1,48,1,False,178900.0,,False,2714,1778,0.0004071,0.0010668000000000001,0.0014739000000000002
experiment_2a1,2,17,0,True,10305.11226,10305.112255,True,643,457,9.645e-05,0.0002742,0.00037065
experiment_2b1,1,49,0,True,10200.0,5117732.7,False,650,448,9.75e-05,0.00026880000000000003,0.0003663
experiment_2a1,2,18,0,False,107843.0,,False,1119,1112,0.00016785,0.0006672,0.0008350499999999999
experiment_2b1,1,50,1,False,9750.0,,False,2206,1108,0.00033089999999999997,0.0006648,0.0009957
experiment_2a1,2,19,0,False,3000.0,,False,1324,1059,0.0001986,0.0006353999999999999,0.0008339999999999999
experiment_2b1,1,51,0,True,703.0,70300.0,False,770,635,0.0001155,0.000381,0.0004965
experiment_2b1,1,52,0,True,1380.0,1380.0,True,499,394,7.484999999999999e-05,0.00023639999999999997,0.00031124999999999995
experiment_2b1,1,53,0,True,33960.0,5230.0,False,595,462,8.925e-05,0.00027719999999999996,0.00036644999999999994
experiment_2a1,2,20,0,False,93715.0,,False,1218,1127,0.0001827,0.0006762,0.0008588999999999999
experiment_2b1,1,54,0,True,5600.0,9600.0,False,746,459,0.0001119,0.00027539999999999997,0.0003873
experiment_2a1,2,21,0,False,93715.0,,False,1184,1099,0.0001776,0.0006594,0.000837
experiment_2b1,1,55,1,False,5600.0,,False,2149,1096,0.00032235,0.0006576,0.00097995
experiment_2a1,2,22,0,False,1438383.0,,False,1166,742,0.0001749,0.0004452,0.0006201
experiment_2a1,2,23,0,False,498677.0,,False,1162,867,0.00017429999999999998,0.0005202,0.0006944999999999999
experiment_2b1,1,56,1,False,26.5,,False,1989,1222,0.00029835,0.0007332,0.00103155
experiment_2a1,2,24,0,False,2142.0,,False,898,669,0.0001347,0.0004014,0.0005361
experiment_2b1,1,57,0,True,251500.0,59000.0,False,772,648,0.0001158,0.0003888,0.0005046
experiment_2a1,2,25,0,True,2619.0,866.0,False,960,775,0.000144,0.000465,0.0006090000000000001
experiment_2b1,1,58,0,True,7120.0,9320.0,False,675,568,0.00010125,0.0003408,0.00044205
experiment_2b1,1,59,0,True,35000.0,35000.0,True,575,479,8.625e-05,0.0002874,0.00037365
experiment_2a1,2,26,0,False,2450.0,,False,1001,857,0.00015015000000000002,0.0005141999999999999,0.00066435
experiment_2b1,1,60,0,True,290.0,290.0,True,480,462,7.2e-05,0.00027719999999999996,0.0003492
experiment_2a1,2,27,0,False,14900.0,,False,765,595,0.00011475,0.000357,0.00047175
experiment_2b1,1,61,0,True,2280.0,2280.0,True,697,750,0.00010455,0.00045,0.00055455
experiment_2a1,2,28,0,True,19.95,11.46625,False,553,506,8.295e-05,0.00030359999999999995,0.00038654999999999994
experiment_2a1,2,29,0,True,10.45,11.46625,False,547,503,8.205e-05,0.0003018,0.00038385000000000003
experiment_2b1,1,62,1,True,1256.0,1256.0,True,1722,1086,0.0002583,0.0006516,0.0009098999999999999
experiment_2a1,2,30,0,True,1.475,10.458964648,False,570,497,8.55e-05,0.0002982,0.0003837
experiment_2a1,2,31,0,False,986630.0,,False,688,618,0.0001032,0.0003708,0.00047400000000000003
experiment_2b1,1,63,0,True,45.0,45.0,True,1126,972,0.0001689,0.0005832,0.0007521
experiment_2a1,2,32,0,True,1000.0,1000.0,True,425,329,6.375e-05,0.0001974,0.00026115000000000003
experiment_2b1,2,1,0,True,78.64,78.6376025,True,478,360,7.170000000000001e-05,0.000216,0.0002877
experiment_2a1,2,33,0,True,20.0,20.0,True,402,264,6.0299999999999995e-05,0.0001584,0.0002187
experiment_2a1,2,34,0,True,4.0,4.0,True,433,282,6.495e-05,0.0001692,0.00023415
experiment_2a1,2,35,0,True,970.0,970.0,True,518,452,7.77e-05,0.0002712,0.00034889999999999997
experiment_2b1,2,2,0,True,271250000.0,261952381.0,False,1193,961,0.00017894999999999999,0.0005766,0.00075555
experiment_2a1,2,36,0,True,3800.0,3800.0,True,528,397,7.92e-05,0.0002382,0.0003174
experiment_2a1,2,37,0,True,12000.0,12000.0,True,441,301,6.615e-05,0.0001806,0.00024675
experiment_2a1,2,38,0,True,450.0,450.0,True,503,535,7.545e-05,0.000321,0.00039645
experiment_2b1,2,3,1,False,353.0,,False,2498,1475,0.00037469999999999995,0.000885,0.0012596999999999999
experiment_2a1,2,39,0,False,15.0,,False,425,505,6.375e-05,0.000303,0.00036675
experiment_2b1,2,4,0,True,15.0,15.0,True,400,284,6e-05,0.0001704,0.0002304
experiment_2a1,2,40,0,True,431433437.5,429.93045111,False,707,616,0.00010605,0.0003696,0.00047565
experiment_2b1,2,5,0,True,190.0,110.0,False,710,632,0.0001065,0.0003792,0.0004857
experiment_2a1,2,41,0,True,3.0,1.0,False,411,423,6.165e-05,0.0002538,0.00031545
experiment_2a1,2,42,0,False,9.0,,False,515,452,7.725e-05,0.0002712,0.00034845
experiment_2a1,2,43,0,True,62666.6666667,62666.6664,True,569,355,8.535e-05,0.000213,0.00029835
experiment_2b1,2,6,1,True,0.111,0.0,False,2119,1006,0.00031785,0.0006035999999999999,0.0009214499999999999
experiment_2a1,2,44,0,True,9600.0,50516.7,False,605,467,9.075e-05,0.0002802,0.00037095
experiment_2b1,2,7,0,True,0.0111,0.01,False,695,503,0.00010425,0.0003018,0.00040605000000000003
experiment_2b1,2,8,0,True,12000.0,12000.0,True,455,343,6.825e-05,0.0002058,0.00027404999999999997
experiment_2a1,2,45,0,False,100500.0,,False,732,490,0.0001098,0.000294,0.0004038
experiment_2b1,2,9,0,True,7.37,7.3703704,True,534,392,8.01e-05,0.0002352,0.0003153
experiment_2a1,2,46,0,False,37100.0,,False,723,673,0.00010845000000000001,0.0004038,0.00051225
experiment_2b1,2,10,0,True,240.9,240.89999999999998,True,655,548,9.825e-05,0.0003288,0.00042705
experiment_2a1,2,47,0,True,16620.0,26060.0,False,429,444,6.434999999999999e-05,0.00026639999999999997,0.00033075
experiment_2b1,2,11,1,True,1308.0,210.0,False,1836,883,0.00027539999999999997,0.0005298,0.0008052
experiment_2a1,2,48,0,False,178900.0,,False,861,858,0.00012915,0.0005147999999999999,0.0006439499999999999
experiment_2b1,2,12,0,True,350.45,3348.0,False,725,482,0.00010875,0.0002892,0.00039795
experiment_2a1,2,49,0,False,10200.0,,False,650,415,9.75e-05,0.000249,0.00034649999999999997
experiment_2b1,2,13,0,True,2.0,4.0,False,531,388,7.965e-05,0.0002328,0.00031245
experiment_2a1,2,50,0,True,9750.0,10200.0,False,767,557,0.00011504999999999999,0.0003342,0.00044925
experiment_2a1,2,51,0,False,703.0,,False,770,549,0.0001155,0.0003294,0.00044489999999999997
experiment_2b1,2,14,1,False,654.2,,False,1933,960,0.00028995,0.000576,0.00086595
experiment_2a1,2,52,0,True,1380.0,1380.0,True,499,377,7.484999999999999e-05,0.0002262,0.00030104999999999997
experiment_2b1,2,15,0,True,339000.0,316.8,False,745,689,0.00011175,0.00041339999999999997,0.0005251499999999999
experiment_2a1,2,53,0,True,33960.0,5230.0,False,595,461,8.925e-05,0.00027659999999999995,0.0003658499999999999
experiment_2b1,2,16,0,True,339000.0,245000.0,False,650,423,9.75e-05,0.0002538,0.0003513
experiment_2a1,2,54,0,True,5600.0,9600.0,False,746,477,0.0001119,0.00028619999999999996,0.0003981
experiment_2b1,2,17,0,True,10305.11226,-3094.887745,False,643,443,9.645e-05,0.0002658,0.00036225
experiment_2a1,2,55,0,True,5600.0,50516.7,False,760,596,0.000114,0.00035759999999999996,0.00047159999999999997
experiment_2a1,2,56,0,False,26.5,,False,613,553,9.195e-05,0.0003318,0.00042375
experiment_2b1,2,18,1,True,107843.0,108250.0,True,3576,2146,0.0005364,0.0012875999999999999,0.0018239999999999999
experiment_2a1,2,57,0,True,251500.0,255500.0,False,772,740,0.0001158,0.000444,0.0005598000000000001
experiment_2a1,2,58,0,True,7120.0,10000.0,False,675,568,0.00010125,0.0003408,0.00044205
experiment_2a1,2,59,0,True,35000.0,35000.0,True,575,463,8.625e-05,0.00027780000000000003,0.00036405000000000004
experiment_2a1,2,60,0,True,290.0,290.0,True,480,467,7.2e-05,0.0002802,0.0003522
experiment_2b1,2,19,1,False,3000.0,,False,3997,2056,0.00059955,0.0012336,0.00183315
experiment_2a1,2,61,0,True,2280.0,2280.0,True,697,886,0.00010455,0.0005316,0.00063615
experiment_2a1,2,62,0,True,1256.0,1256.0,True,538,600,8.07e-05,0.00036,0.00044070000000000003
experiment_2a1,2,63,0,True,45.0,45.0,True,1126,918,0.0001689,0.0005507999999999999,0.0007197
experiment_2a1,3,1,0,True,78.64,78.6376025,True,478,329,7.170000000000001e-05,0.0001974,0.0002691
experiment_2b1,2,20,1,False,93715.0,,False,3895,2452,0.00058425,0.0014712000000000002,0.0020554500000000003
experiment_2a1,3,2,0,True,271250000.0,261952381.0,False,1193,894,0.00017894999999999999,0.0005364,0.00071535
experiment_2a1,3,3,0,True,353.0,315.0,False,807,646,0.00012105,0.0003876,0.00050865
experiment_2a1,3,4,0,True,15.0,15.0,True,400,298,6e-05,0.00017879999999999998,0.00023879999999999998
experiment_2a1,3,5,0,True,190.0,40.0,False,710,675,0.0001065,0.000405,0.0005115
experiment_2b1,2,21,1,False,93715.0,,False,3670,2312,0.0005505,0.0013871999999999999,0.0019376999999999999
experiment_2a1,3,6,0,False,0.111,,False,713,431,0.00010695,0.00025859999999999994,0.00036554999999999997
experiment_2a1,3,7,0,True,0.0111,0.01,False,695,490,0.00010425,0.000294,0.00039825
experiment_2b1,2,22,0,True,1438383.0,3179166.665,False,1166,890,0.0001749,0.000534,0.0007088999999999999
experiment_2a1,3,8,0,False,12000.0,,False,455,303,6.825e-05,0.00018179999999999997,0.00025005
experiment_2a1,3,9,0,True,7.37,7.3703704,True,534,391,8.01e-05,0.00023459999999999998,0.0003147
experiment_2a1,3,10,0,True,240.9,240.89999999999998,True,655,464,9.825e-05,0.0002784,0.00037664999999999997
experiment_2b1,2,23,1,True,498677.0,382500.0,False,3407,1677,0.00051105,0.0010062,0.00151725
experiment_2a1,3,11,0,False,1308.0,,False,532,419,7.98e-05,0.0002514,0.0003312
experiment_2b1,2,24,0,True,2142.0,198222222.56,False,898,687,0.0001347,0.0004122,0.0005469
experiment_2a1,3,12,0,True,350.45,3200.0,False,725,509,0.00010875,0.0003054,0.00041415
experiment_2a1,3,13,0,True,2.0,2.0,True,531,324,7.965e-05,0.0001944,0.00027405
experiment_2a1,3,14,0,False,654.2,,False,682,471,0.00010229999999999999,0.0002826,0.0003849
experiment_2a1,3,15,0,True,339000.0,306.8,False,745,713,0.00011175,0.0004278,0.00053955
experiment_2b1,2,25,1,True,2619.0,2608.46154,True,2951,1728,0.00044264999999999994,0.0010368,0.00147945
experiment_2a1,3,16,0,True,339000.0,339000.0,True,650,420,9.75e-05,0.000252,0.0003495
experiment_2b1,2,26,0,True,2450.0,-107998657.6,False,1001,724,0.00015015000000000002,0.0004344,0.00058455
experiment_2a1,3,17,0,False,10305.11226,,False,643,422,9.645e-05,0.0002532,0.00034964999999999996
experiment_2a1,3,18,0,False,107843.0,,False,1119,915,0.00016785,0.000549,0.00071685
experiment_2b1,2,27,1,False,14900.0,,False,2726,1309,0.00040889999999999996,0.0007853999999999999,0.0011943
experiment_2b1,2,28,0,True,19.95,11.46625,False,553,474,8.295e-05,0.0002844,0.00036734999999999996
experiment_2a1,3,19,0,False,3000.0,,False,1324,1259,0.0001986,0.0007553999999999999,0.000954
experiment_2b1,2,29,0,True,10.45,11.46625,False,547,467,8.205e-05,0.0002802,0.00036225
experiment_2b1,2,30,0,True,1.475,10.458964648,False,570,505,8.55e-05,0.000303,0.0003885
experiment_2a1,3,20,0,False,93715.0,,False,1218,1124,0.0001827,0.0006744,0.0008571
experiment_2a1,3,21,0,False,93715.0,,False,1184,1028,0.0001776,0.0006167999999999999,0.0007943999999999999
experiment_2b1,2,31,1,False,986630.0,,False,2086,1251,0.0003129,0.0007505999999999999,0.0010635
experiment_2b1,2,32,0,True,1000.0,1000.0,True,425,343,6.375e-05,0.0002058,0.00026955
experiment_2a1,3,22,0,False,1438383.0,,False,1166,764,0.0001749,0.0004584,0.0006332999999999999
experiment_2b1,2,33,0,True,20.0,20.0,True,402,238,6.0299999999999995e-05,0.00014279999999999997,0.00020309999999999998
